,user_id,order_id,order_date,booking_date,order_status,device_id,dcity_code,acity_code,flight_time,flight_number,flight_date,flight_num_date,browsing_time,refund_rate,join_date,registered_time,count,certificate,flag
0,M92022363,D00000013,2022/1/1 1:12,2022/1/1 0:00,S,ad2o7-go517-s7nto-t4li0-xrd3d,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,147,0.0909,2021-12-31 18:21:00,24660,1,G708458963458,0
1,M266512650,D00000015,2022/1/1 9:47,2022/1/1 0:00,S,9pvt2-bj0jl-qg0uj-iohma-m1bne,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,64,0.0909,2022-01-01 01:45:00,28920,1,G516885047341,0
2,M141555821,D00000016,2022/1/1 9:53,2022/1/1 0:00,S,9knpw-3np73-v9y4w-mlizk-t3gep,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,110,0.0909,2022-01-01 03:26:00,23220,1,G053223235749,0
3,M4691495608,D00000037,2022/1/1 20:29,2022/1/1 0:00,R,rr7sw-6x5rw-5tzfx-hhpbp-f1llz,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,107,0.0909,2022-01-01 13:26:00,25380,1,G020395436041,0
4,M4135757873,D00000014,2022/1/1 9:43,2022/1/1 0:00,S,qebh7-c5waj-smi43-g00cd-229lf,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,65,0.0909,2022-01-01 02:16:00,26820,1,G688280643964,0
5,M2706806772,D00000048,2022/1/2 10:12,2022/1/2 0:00,S,17083-ran5r-m70zl-d6dqe-avcnj,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,55,0.0909,2022-01-02 03:33:00,23940,1,G959323147049,0
6,M4349009353,D00000034,2022/1/1 19:38,2022/1/1 0:00,S,num0z-tvrbt-9qx46-slm94-5gock,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,128,0.0909,2022-01-01 16:47:00,10260,1,G953354177133,1
7,M203089940,D00000021,2022/1/1 13:56,2022/1/1 0:00,R,g7n49-tprsh-562a9-mjcro-s506r,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,90,0.0909,2022-01-01 04:45:00,33060,1,G172071730884,0
8,M4491242462,D00000012,2022/1/1 0:57,2022/1/1 0:00,S,879bf-ua288-qa01o-dgc7q-zxt00,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,90,0.0909,2021-12-31 17:46:00,25860,1,G803042612587,0
9,M4971892887,D00000049,2022/1/2 10:12,2022/1/2 0:00,S,g9xqv-890vc-kuh5l-31bfr-kcvvc,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,112,0.0909,2022-01-02 03:35:00,23820,1,G761740848791,0
10,M3037584278,D00000043,2022/1/2 2:22,2022/1/2 0:00,S,oihf8-18t9d-wox8r-2llbm-10zlk,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,123,0.0909,2022-01-18 03:35:00,19320,11,G999324753696,0
11,M4366894685,D00000071,2022/1/2 16:53,2022/1/2 0:00,R,zl8a5-pkihs-dhr7x-wex06-103ny,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,117,0.0909,2022-01-02 09:47:00,25560,1,G735251127861,0
12,M2815514910,D00000081,2022/1/2 20:23,2022/1/2 0:00,S,hgnaq-1q9ik-s00xf-zpz5l-llpe9,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,106,0.0909,2022-01-02 14:18:00,21900,1,G519539385699,0
13,M3089682252,D00000025,2022/1/1 14:38,2022/1/1 0:00,S,10zrz-zhzbj-25a2w-ubsmp-6beqz,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,83,0.0909,2022-01-01 07:41:00,25020,1,G854600957882,0
14,M4915889067,D00000062,2022/1/2 14:17,2022/1/2 0:00,S,717tg-buozj-u3ibz-ww0n0-vl375,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,91,0.0909,2022-01-02 05:03:00,33240,1,G411535588965,0
15,M3941934576,D00000085,2022/1/3 2:06,2022/1/3 0:00,S,t3jqb-of4ro-ucgej-zxhg1-75qvz,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,101,0.0909,2022-01-02 20:56:00,18600,1,G259735271860,0
16,M324367708,D00000059,2022/1/2 13:00,2022/1/2 0:00,S,fo24c-nw5r8-toak2-vfpwy-hheu1,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,97,0.0909,2022-01-02 06:38:00,22920,1,G430983033215,0
17,M3546907676,D00000066,2022/1/2 15:05,2022/1/2 0:00,S,04mu1-3x5dc-l6nml-rmzo1-dzu2i,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,100,0.0909,2022-01-02 08:55:00,22200,1,G940381399405,0
18,M308283236,D00000067,2022/1/2 15:19,2022/1/2 0:00,S,1jp9y-yq25c-7grov-54ips-h64o3,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,59,0.0909,2022-01-02 09:32:00,20820,1,G615005819989,0
19,M4983630689,D00000029,2022/1/1 17:35,2022/1/1 0:00,S,wcg35-ytkdj-h849z-o8ocd-na0ho,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,122,0.0909,2022-01-01 08:01:00,34440,1,G497235801886,0
